5440	PTHR10000
2849	PTHR10000:SF23
3030	PTHR10000:SF25
2718	PTHR10000:SF50
5440	PTHR10000:SF54
4725	PTHR10000:SF8
1601	PTHR10003
47	PTHR10003:SF58
3678	PTHR10009
3678	PTHR10009:SF18
3365	PTHR10010
3365	PTHR10010:SF46
4644	PTHR10031
4644	PTHR10031:SF0
3088	PTHR10046
3088	PTHR10046:SF48
3517	PTHR10046:SF56
3518	PTHR10046:SF64
3396	PTHR10067
3396	PTHR10067:SF6
78	PTHR10072
78	PTHR10072:SF41
3974	PTHR10073
3974	PTHR10073:SF52
411	PTHR10088
411	PTHR10088:SF5
1931	PTHR10091
1931	PTHR10091:SF39
107	PTHR10093
107	PTHR10093:SF8
5526	PTHR10110
5526	PTHR10110:SF124
2791	PTHR10120
2791	PTHR10120:SF24
3573	PTHR10133
3573	PTHR10133:SF27
1325	PTHR10134
1325	PTHR10134:SF20
2929	PTHR10138
2929	PTHR10138:SF0
3122	PTHR10146
3122	PTHR10146:SF14
2543	PTHR10151
2543	PTHR10151:SF103
4746	PTHR10173
4746	PTHR10173:SF55
4275	PTHR10196
4275	PTHR10196:SF78
895	PTHR10210
895	PTHR10210:SF41
3983	PTHR10229
3983	PTHR10229:SF0
2424	PTHR10229:SF4
4296	PTHR10256
4296	PTHR10256:SF0
1644	PTHR10277
1644	PTHR10277:SF9
2659	PTHR10283
2659	PTHR10283:SF82
4649	PTHR10285
4649	PTHR10285:SF135
2240	PTHR10285:SF164
3409	PTHR10285:SF75
3230	PTHR10291
3230	PTHR10291:SF0
4614	PTHR10302
5794	PTHR10302:SF0
4614	PTHR10302:SF19
3882	PTHR10314
3882	PTHR10314:SF102
3402	PTHR10314:SF209
1650	PTHR10314:SF5
873	PTHR10344
873	PTHR10344:SF4
1685	PTHR10353
4932	PTHR10353:SF139
1685	PTHR10353:SF36
3367	PTHR10357
3367	PTHR10357:SF178
1105	PTHR10357:SF184
1300	PTHR10359
2520	PTHR10361
4601	PTHR10362
4601	PTHR10362:SF7
251	PTHR10381
251	PTHR10381:SF11
3064	PTHR10422
3064	PTHR10422:SF35
1020	PTHR10429
1355	PTHR10434
1355	PTHR10434:SF40
3276	PTHR10443
3276	PTHR10443:SF39
3031	PTHR10458
3149	PTHR10458:SF19
3031	PTHR10458:SF8
1271	PTHR10465
1271	PTHR10465:SF0
3438	PTHR10472
3438	PTHR10472:SF5
3798	PTHR10491
4098	PTHR10509
4098	PTHR10509:SF14
858	PTHR10513
859	PTHR10513:SF35
858	PTHR10513:SF40
1411	PTHR10515
1513	PTHR10520
2554	PTHR10566
2554	PTHR10566:SF113
23	PTHR10578
23	PTHR10578:SF105
3019	PTHR10579
3019	PTHR10579:SF145
3752	PTHR10584
1001	PTHR10587
2243	PTHR10587:SF105
714	PTHR10587:SF125
1001	PTHR10587:SF128
1800	PTHR10587:SF78
3247	PTHR10587:SF80
1735	PTHR10590
3847	PTHR10625
3847	PTHR10625:SF132
2965	PTHR10640
2965	PTHR10640:SF7
4032	PTHR10655
4032	PTHR10655:SF17
3021	PTHR10681
1897	PTHR10681:SF121
3021	PTHR10681:SF154
4667	PTHR10683
4667	PTHR10683:SF36
5688	PTHR10695
5688	PTHR10695:SF46
37	PTHR10724
1075	PTHR10724:SF10
37	PTHR10724:SF7
4133	PTHR10742
4133	PTHR10742:SF342
969	PTHR10744
969	PTHR10744:SF1
3349	PTHR10745
961	PTHR10746
961	PTHR10746:SF6
1087	PTHR10772
1087	PTHR10772:SF24
4612	PTHR10799
5105	PTHR10799:SF971
4612	PTHR10799:SF987
4424	PTHR10803
4075	PTHR10803:SF25
4569	PTHR10806
4569	PTHR10806:SF6
2957	PTHR10815
2957	PTHR10815:SF5
2471	PTHR10846
2471	PTHR10846:SF8
2042	PTHR10859
2042	PTHR10859:SF110
2353	PTHR10869
2353	PTHR10869:SF123
986	PTHR10871
986	PTHR10871:SF1
4021	PTHR10885
4021	PTHR10885:SF11
4295	PTHR10887
1469	PTHR10889
1469	PTHR10889:SF1
939	PTHR10890
980	PTHR10906
980	PTHR10906:SF2
968	PTHR10916
968	PTHR10916:SF0
2117	PTHR10937
1011	PTHR10937:SF0
2117	PTHR10937:SF15
5687	PTHR10938
5687	PTHR10938:SF0
3549	PTHR10947
3549	PTHR10947:SF0
95	PTHR10949
95	PTHR10949:SF0
4372	PTHR10953
4372	PTHR10953:SF102
3548	PTHR10954
